Time	    Memory		CPU
1560267090: 22.92%		0.63%		
1560267091: 24.67%		0.63%		
1560267093: 24.72%		0.63%		
1560267094: 24.72%		0.63%		
1560267095: 24.72%		0.58%		
1560267096: 24.77%		0.58%		
1560267098: 24.77%		0.58%		
1560267099: 24.77%		0.58%		
1560267100: 24.77%		0.53%		
1560267102: 24.97%		0.53%		
1560267103: 25.08%		0.53%		
1560267104: 24.92%		0.53%		
1560267105: 24.92%		0.57%		
1560267107: 24.92%		0.57%		
1560267108: 24.92%		0.57%		
1560267109: 24.92%		0.57%		
1560267111: 24.92%		0.52%		
1560267112: 24.92%		0.52%		
1560267113: 25.08%		0.52%		
1560267114: 24.97%		0.52%		
1560267116: 24.97%		0.56%		
1560267117: 24.92%		0.56%		
1560267118: 24.92%		0.56%		
1560267120: 24.92%		0.56%		
1560267121: 24.92%		0.76%		
1560267122: 24.92%		0.76%		
1560267123: 24.97%		0.76%		
1560267125: 24.92%		0.76%		
1560267126: 24.92%		0.70%		
1560267127: 24.92%		0.70%		
1560267129: 24.92%		0.70%		
1560267130: 24.97%		0.96%		
1560267131: 24.97%		0.96%		
1560267132: 25.58%		0.96%		
1560267134: 25.58%		0.96%		
1560267135: 25.58%		1.04%		
1560267136: 25.53%		1.04%		
1560267138: 25.58%		1.04%		
1560267139: 25.58%		1.04%		
1560267140: 25.58%		0.96%		
1560267141: 25.58%		0.96%		
1560267143: 25.58%		0.96%		
1560267144: 25.58%		0.96%		
1560267145: 25.58%		0.88%		
1560267147: 25.58%		0.88%		
1560267148: 25.58%		0.88%		
1560267149: 25.58%		0.88%		
1560267150: 25.58%		0.81%		
1560267152: 25.58%		0.81%		
1560267153: 25.58%		0.81%		
1560267154: 25.58%		0.81%		
1560267156: 25.58%		0.91%		
1560267157: 25.58%		0.91%		
1560267158: 25.53%		0.91%		
1560267159: 25.53%		0.91%		
1560267161: 25.53%		0.91%		
1560267162: 25.58%		0.91%		
1560267163: 25.58%		0.91%		
1560267165: 25.58%		0.91%		
1560267166: 25.58%		0.84%		
1560267167: 25.53%		0.84%		
1560267169: 25.58%		0.84%		
1560267170: 25.58%		0.77%		
1560267171: 25.58%		0.77%		
1560267172: 25.53%		0.77%		
1560267174: 25.58%		0.77%		
1560267175: 25.53%		0.95%		
1560267176: 25.53%		0.95%		
1560267178: 25.53%		0.95%		
1560267179: 25.53%		0.95%		
1560267180: 25.53%		0.88%		
1560267181: 25.53%		0.88%		
1560267183: 25.53%		0.88%		
1560267184: 25.53%		0.88%		
1560267185: 25.58%		0.81%		
1560267187: 25.58%		0.81%		
1560267188: 25.58%		0.81%		
1560267189: 25.58%		0.81%		
1560267190: 25.58%		0.74%		
1560267192: 25.58%		0.74%		
1560267193: 25.58%		0.74%		
1560267194: 25.58%		0.74%		
1560267196: 25.58%		0.68%		
1560267197: 25.58%		0.68%		
1560267198: 25.58%		0.68%		
1560267199: 25.58%		0.68%		
1560267201: 25.63%		0.63%		
1560267202: 25.63%		0.63%		
1560267203: 25.63%		0.63%		
1560267205: 25.63%		0.63%		
1560267206: 25.63%		0.74%		
1560267207: 25.63%		0.74%		
1560267208: 25.68%		0.74%		
1560267210: 25.68%		0.74%		
1560267211: 25.68%		0.68%		
1560267212: 25.68%		0.68%		
1560267214: 25.68%		0.68%		
1560267215: 25.68%		0.62%		
1560267216: 25.68%		0.62%		
1560267218: 25.68%		0.62%		
1560267219: 25.68%		0.62%		
1560267220: 25.68%		0.57%		
1560267221: 25.68%		0.57%		
1560267223: 25.68%		0.57%		
